id,title_fa,title_en,code,parent_id
1,موبایل,موبایل,mobile,0
2,تبلت و کتابخوان,تبلت و کتابخوان,tablet-ebook-reader,5966
3,لپ تاپ,لپ تاپ,laptop,5966
4,کامپیوتر و تجهیزات جانبی,کامپیوتر و تجهیزات جانبی,computer-parts,5966
5,ماشین های اداری,ماشین های اداری,office-machines,5966
6,دوربین,دوربین,camera,5966
7,صوتی و تصویری,صوتی و تصویری,video-audio-entertainment,5753
8,کتاب، لوازم تحریر و هنر,کتاب، لوازم تحریر و هنر,book-and-media,0
11,گوشی موبایل,گوشی موبایل,mobile-phone,1
12,لوازم جانبی گوشی موبایل,لوازم جانبی گوشی موبایل,mobile-accessories,6060
13,تبلت,تبلت,tablet,2
14,کتاب‌خوان و کاغذ دیجیتالی,کتاب‌خوان و کاغذ دیجیتالی,ebook-reader,2
15,رهیاب ماهواره‌ای,رهیاب ماهواره ای,gps-navigator,2
17,لوازم جانبی تبلت,لوازم جانبی تبلت,tablet-accessories,6060
18,لپ تاپ و الترابوک,لپ تاپ و الترابوک,notebook-netbook-ultrabook,3
19,لوازم جانبی لپ تاپ,لوازم جانبی لپ تاپ,laptop-accessories,3
20,کامپیوترهای All-in-One,کامپیوترهای All-in-One,all-in-pc,4
21,تجهیزات شبکه و ارتباطات,تجهیزات شبکه و ارتباطات,network,4
22,تجهیزات ذخیره‌سازی اطلاعات,تجهیزات ذخیره سازی اطلاعات,data-storage,4
23,کامپیوتر سرور,کامپیوتر سرور,server-computer,4
24,مانیتور,Monitor,monitor,4
25,اسپیکر (بلندگو),اسپیکر (بلندگو),speaker,4
26,ماوس (موشواره),ماوس (موشواره),mouse,4
27,کیبورد (صفحه کلید),کیبورد (صفحه کلید),keyboard,4
28,قلم نوری,قلم نوری,digital-pen,4
29,وب‌کم,وب کم,webcam,4
30,گیرنده تلویزیون دیجیتال USB,گیرنده تلویزیون دیجیتال USB,usb-dvb-t,6398
31,قطعات کامپیوتر,قطعات کامپیوتر,computer-devices,4
34,پرینتر,پرینتر,printer,5
35,اسکنر,اسکنر,scanner,5
36,فکس,فکس,fax,5
37,دستگاه کپی,دستگاه کپی,coppier,5
39,تلفن,تلفن,telephone,5
40,ماشین حساب,ماشین حساب,calculator,5
41,صندوق فروشگاهی,صندوق فروشگاهی,cashier-machine,8661
42,اسکناس شمار,اسکناس شمار,cash-counter,5
43,ویدیو پروژکتور,Video Projector,data-video-projector,5
44,کاغذ خردکن,کاغذ خرد کن,shredder,5
45,دستگاه کنترل تردد,دستگاه کنترل تردد,employee-timeclock,5
46,بارکد خوان,بارکد خوان,barcode-reader,5
48,دوربین عکاسی,دوربین عکاسی,digital-camera,6
49,دوربین فیلم برداری,دوربین فیلم برداری,camcorder,6
51,لوازم جانبی عکاسی و فیلم برداری,لوازم جانبی عکاسی و فیلم برداری,camera-accessories,6
53,سینمای خانگی,سینمای خانگی,home-theatre,7
54,سیستم صوتی خانگی,سیستم صوتی خانگی,home-audio-systems,7
55,پخش کننده DVD,پخش کننده DVD,dvd-player,5920
56,پخش کننده Blu-Ray,پخش کننده Blu-Ray,blu-ray-player,5920
57,گیرنده دیجیتال DVB-T,گیرنده دیجیتال DVB-T,set-top-box,6398
58,پخش کننده خانگی,پخش کننده خانگی,home-multimedia-player,5920
59,سیستم صوتی و تصویری خودرو,سیستم صوتی و تصویری خودرو,car-stereo,10688
60,کنسول بازی,کنسول بازی,game-console,5966
62,ضبط کننده صدا,ضبط کننده صدا,ic-rcorder,7
63,پخش کننده چندرسانه ای پرتابل,پخش کننده چندرسانه ای پرتابل,portable-music-video-player,5920
64,فلش مموری,فلش مموری,usb-flash-memory,22
67,کارت شبکه,کارت شبکه,network-card,21
68,هارد دیسک اکسترنال,هارد دیسک اکسترنال,external-hard-disk,22
69,حافظه SSD اینترنال,internal SSD,internal-ssd,22
70,کارت حافظه,کارت حافظه,memory-cards,51
