title,api-url
mobile,https://api.digikala.com/v1/categories/mobile/
laptop,https://api.digikala.com/v1/categories/laptop/
electronic-devices,https://api.digikala.com/v1/categories/electronic-devices/
home-and-kitchen,https://api.digikala.com/v1/categories/home-and-kitchen/
category-home-appliance,https://api.digikala.com/v1/categories/category-home-appliance/
personal-appliance,https://api.digikala.com/v1/categories/personal-appliance/
apparel,https://api.digikala.com/v1/categories/apparel/
gold,https://api.digikala.com/v1/categories/gold/
vehicles-spare-parts,https://api.digikala.com/v1/categories/vehicles-spare-parts/
vehicles,https://api.digikala.com/v1/categories/vehicles/
category-health-care,https://api.digikala.com/v1/categories/category-health-care/
book-and-media,https://api.digikala.com/v1/categories/book-and-media/
sport-entertainment,https://api.digikala.com/v1/categories/sport-entertainment/
dk-ds-gift-card,https://api.digikala.com/v1/categories/dk-ds-gift-card/
food-beverage,https://api.digikala.com/v1/categories/food-beverage/
mother-and-child,https://api.digikala.com/v1/categories/mother-and-child/
rural-products,https://api.digikala.com/v1/categories/rural-products/
pet,https://api.digikala.com/v1/categories/pet/
